	playerID	yearID_x	stint	teamID_x	lgID_x	G	AB	R	H	2B	3B	HR	RBI	SB	CS	BB	SO	IBB	HBP	SH	SF	GIDP	yearID_y	teamID_y	lgID_y	G_all	GS	G_batting	G_defense	G_p	G_c	G_1b	G_2b	G_3b	G_ss	G_lf	G_cf	G_rf	G_of	G_dh	G_ph	G_pr
150	boehrbr01	2004	1	PIT	NL	21	1	0	0	0	0	0	0.0	0.0	0.0	0	1.0	0.0	0.0	0.0	0.0	0.0	2004	PIT	NL	21	0.0	21	21.0	21	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
151	bondeje01	2004	1	DET	AL	33	7	0	0	0	0	0	0.0	0.0	0.0	0	4.0	0.0	0.0	0.0	0.0	0.0	2004	DET	AL	33	32.0	3	33.0	33	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
152	bondsba01	2004	1	SFN	NL	147	373	129	135	27	3	45	101.0	6.0	1.0	232	41.0	120.0	9.0	0.0	3.0	5.0	2004	SFN	NL	147	139.0	147	133.0	0	0	0	0	0	0	133	0	0	133	7.0	8.0	0.0
153	bongju01	2004	1	CIN	NL	3	4	0	0	0	0	0	0.0	0.0	0.0	0	3.0	0.0	0.0	0.0	0.0	0.0	2004	CIN	NL	3	3.0	2	3.0	3	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
154	boonebr01	2004	1	SEA	AL	148	593	74	149	30	0	24	83.0	10.0	5.0	56	135.0	2.0	3.0	2.0	4.0	18.0	2004	SEA	AL	148	148.0	148	148.0	0	0	0	148	0	0	0	0	0	0	0.0	0.0	0.0
155	borchjo01	2004	1	CHA	AL	63	201	26	35	4	1	9	20.0	1.0	0.0	19	57.0	1.0	1.0	1.0	0.0	4.0	2004	CHA	AL	63	54.0	63	56.0	0	0	0	0	0	0	0	2	54	56	4.0	6.0	1.0
156	bordepa01	2004	1	SEA	AL	19	53	6	10	2	0	1	5.0	1.0	1.0	1	12.0	0.0	0.0	1.0	0.0	2.0	2004	MIN	AL	19	14.0	19	19.0	0	19	0	0	0	0	0	0	0	0	0.0	0.0	1.0
163	bottari01	2004	1	NYN	NL	60	2	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	2004	NYN	NL	60	0.0	57	60.0	60	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
164	bowenro01	2004	1	MIN	AL	17	27	1	3	0	0	1	2.0	0.0	0.0	4	10.0	0.0	0.0	1.0	0.0	1.0	2004	MIN	AL	17	8.0	17	15.0	0	15	0	0	0	0	0	0	0	0	1.0	1.0	1.0
167	bradlmi01	2004	1	LAN	NL	141	516	72	138	24	0	19	67.0	15.0	11.0	71	123.0	3.0	6.0	3.0	1.0	12.0	2004	LAN	NL	141	137.0	141	138.0	0	0	0	0	0	0	17	93	31	138	0.0	4.0	0.0
168	braggda01	2004	1	SDN	NL	9	7	2	1	0	0	0	0.0	0.0	0.0	2	2.0	0.0	0.0	0.0	0.0	0.0	2004	CIN	NL	38	18.0	38	26.0	0	0	0	0	0	0	2	14	11	26	0.0	14.0	0.0
172	branyru01	2004	1	MIL	NL	51	158	21	37	11	1	11	27.0	1.0	0.0	20	68.0	0.0	2.0	0.0	2.0	1.0	2004	MIL	NL	51	41.0	51	45.0	0	0	2	0	44	0	0	0	0	0	0.0	8.0	0.0
173	brazecr01	2004	1	NYN	NL	24	34	3	9	2	0	1	3.0	0.0	0.0	1	7.0	0.0	0.0	0.0	0.0	1.0	2004	NYN	NL	24	3.0	24	7.0	0	0	7	0	0	0	0	0	0	0	0.0	18.0	0.0
174	brazede01	2004	1	TBA	AL	22	1	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	2004	TBA	AL	22	21.0	1	22.0	22	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
175	brazoyh01	2004	1	LAN	NL	31	1	0	0	0	0	0	0.0	0.0	0.0	0	1.0	0.0	0.0	0.0	0.0	0.0	2004	LAN	NL	31	0.0	31	31.0	31	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
176	britoju01	2004	1	ARI	NL	54	171	17	35	7	0	3	12.0	1.0	0.0	9	41.0	1.0	1.0	1.0	2.0	6.0	2004	ARI	NL	54	53.0	54	54.0	0	54	0	0	0	0	0	0	0	0	0.0	0.0	0.0
178	brookfr01	2004	1	PIT	NL	11	1	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	2004	PIT	NL	11	1.0	11	11.0	11	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
179	brousbe01	2004	1	CLE	AL	139	418	57	115	28	5	17	82.0	4.0	2.0	52	95.0	3.0	12.0	1.0	2.0	7.0	2004	CLE	AL	139	107.0	139	133.0	0	0	133	0	0	0	0	0	0	0	0.0	16.0	2.0
180	broweji01	2004	1	SFN	NL	89	2	1	1	0	0	0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0	0.0	2004	SFN	NL	89	0.0	85	89.0	89	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
181	brownad01	2004	1	KCA	AL	5	11	0	3	0	0	0	0.0	0.0	0.0	0	2.0	0.0	0.0	0.0	0.0	0.0	2004	KCA	AL	5	3.0	5	5.0	0	0	0	0	0	0	4	0	1	5	0.0	0.0	0.0
182	brownde02	2004	1	KCA	AL	59	195	19	49	7	0	4	24.0	2.0	2.0	11	50.0	0.0	1.0	1.0	1.0	1.0	2004	KCA	AL	59	50.0	59	53.0	0	0	0	0	0	0	53	0	0	53	1.0	6.0	0.0
186	brunter01	2004	1	HOU	NL	45	52	14	13	2	0	4	8.0	4.0	0.0	7	13.0	0.0	0.0	0.0	2.0	0.0	2004	HOU	NL	45	12.0	45	40.0	0	0	0	5	0	33	1	1	0	2	0.0	5.0	5.0
187	buchabr01	2004	1	SDN	NL	38	60	7	12	2	0	2	6.0	0.0	0.0	6	19.0	2.0	1.0	0.0	1.0	2.0	2004	NYN	NL	2	1.0	2	1.0	0	0	1	0	0	0	0	0	0	0	0.0	1.0	0.0
191	buckjo01	2004	1	KCA	AL	71	238	36	56	9	0	12	30.0	1.0	1.0	15	79.0	0.0	0.0	4.0	1.0	6.0	2004	KCA	AL	71	69.0	71	68.0	0	68	0	0	0	0	0	0	0	0	3.0	0.0	0.0
192	buehrma01	2004	1	CHA	AL	35	3	0	0	0	0	0	0.0	0.0	0.0	0	2.0	0.0	0.0	2.0	0.0	0.0	2004	CHA	AL	35	35.0	2	35.0	35	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
